Item Code,Item,Description,HS Code,HS07 Code,HS12 Code,CPC Code
2924,Alcoholic Beverages,,,,,
2617,Apples and products,"Default composition: 515 Apples, 518 Juice, apple, single strength, 519 Juice, apple, concentrated",,,,
2615,Bananas,Default composition: 486 Bananas,,,,
2513,Barley and products,"Default composition: 44 Barley, 45 Barley, pot, 46 Barley, pearled, 47 Bran, barley, 48 Flour, barley and grits, 49 Malt, 50 Malt extract",,,,
2546,Beans,"Default composition: 176 Beans, dry",,,,
2656,Beer,Default composition: 51 Beer of barley,,,,
2658,"Beverages, Alcoholic","Default composition: 634 Beverages, distilled alcoholic",,,,
2657,"Beverages, Fermented","Default composition: 26 Beverages, fermented wheat, 39 Beverages, fermented rice, 66 Beer of maize, 82 Beer of millet, 86 Beer of sorghum, 517 Cider etc",,,,
2532,Cassava and products,"Default composition: 125 Cassava, 126 Flour, cassava, 127 Tapioca, cassava, 128 Cassava dried, 129 Starch, cassava",,,,
2905,Cereals - Excluding Beer,,,,,
2520,"Cereals, Other","Default composition: 68 Popcorn, 89 Buckwheat, 90 Flour, buckwheat, 91 Bran, buckwheat, 92 Quinoa, 94 Fonio, 95 Flour, fonio, 96 Bran, fonio, 97 Triticale, 98 Flour, triticale, 99 Bran, triticale, 101 Canary seed, 103 Grain, mixed, 104 Flour, mixed grain, 105 Bran, mixed grains, 108 Cereals, nes, 111 Flour, cereals, 112 Bran, cereals nes, 113 Cereal preparations, nes",,,,
2614,"Citrus, Other","Default composition: 512 Fruit, citrus nes, 513 Juice, citrus, single strength, 514 Juice, citrus, concentrated",,,,
2642,Cloves,Default composition: 698 Cloves,,,,
2633,Cocoa Beans and products,"Default composition: 661 Cocoa, beans, 662 Cocoa, paste, 665 Cocoa, powder & cake, 666 Chocolate products nes",,,,
2578,Coconut Oil,"Default composition: 252 Oil, coconut (copra)",,,,
2560,Coconuts - Incl Copra,"Default composition: 249 Coconuts, 250 Coconuts, desiccated, 251 Copra",,,,
2630,Coffee and products,"Default composition: 656 Coffee, green, 657 Coffee, roasted, 659 Coffee, extracts",,,,
2575,Cottonseed Oil,"Default composition: 331 Oil, cottonseed",,,,
2619,Dates,Default composition: 577 Dates,,,,
2919,Fruits - Excluding Wine,,,,,
2625,"Fruits, Other","Default composition: 521 Pears, 523 Quinces, 526 Apricots, 527 Apricots, dry, 530 Cherries, sour, 531 Cherries, 534 Peaches and nectarines, 536 Plums and sloes, 537 Plums dried (prunes), 538 Juice, plum, single strength, 539 Juice, plum, concentrated, 541 Fruit, stone nes, 542 Fruit, pome nes, 544 Strawberries, 547 Raspberries, 549 Gooseberries, 550 Currants, 552 Blueberries, 554 Cranberries, 558 Berries nes, 567 Watermelons, 568 Melons, other (inc.cantaloupes), 569 Figs, 570 Figs dried, 571 Mangoes, mangosteens, guavas, 572 Avocados, 583 Juice, mango, 587 Persimmons, 591 Cashewapple, 592 Kiwi fruit, 600 Papayas, 603 Fruit, tropical fresh nes, 604 Fruit, tropical dried nes, 619 Fruit, fresh nes, 620 Fruit, dried nes, 622 Juice, fruit nes, 623 Fruit, prepared nes, 624 Flour, fruit, 625 Fruits, nuts, peel, sugar preserved, 626 Fruit, cooked, homogenized preparations",,,,
2901,Grand Total,,,,,
