Country,x,y,z
Afghanistan,-108.117885407,-31.1152289725,-199.52967703
Albania,-178.099182378,-24.5680957828,-182.6522608
Algeria,-194.753179837,-25.8094255468,-184.664755138
Angola,332.503255951,287.059848338,-64.7182474548
Argentina,-184.171354301,22.7097326062,-3.10424310947
Armenia,-250.239758334,44.6326085715,-163.192981206
Australia,-184.013146758,50.1050093974,192.093063663
Austria,-161.73762175,97.564508344,228.936712239
Azerbaijan,-200.90880953,0.964736322724,-225.497868723
Bahamas,-59.5981577323,-54.9012516518,42.8125264754
Bangladesh,203.82478267,-275.539396588,-0.00142800094497
Barbados,-58.5488068665,-47.7954485261,78.1645027468
Belarus,-217.320067532,119.125383025,165.461445199
Belize,2.07683945173,-84.0201664357,36.5322961526
Benin,305.415586373,179.573447353,-42.0487845889
Bolivia (Plurinational State of),-8.03165979476,38.5206585569,64.5074615848
Bosnia and Herzegovina,-177.686547585,44.2880928261,-61.3251439877
Botswana,108.97388591,-74.1171526795,63.955880121
Brazil,114.727305889,30.7105793729,32.5405932656
Brunei Darussalam,64.3542829577,-130.458413958,30.9983060347
Bulgaria,-310.330957753,65.8937041813,-144.320686877
Burkina Faso,207.731055235,-83.1444388357,31.8245931796
Cote d'Ivoire,298.100696301,108.301067631,-46.7749649494
Cabo Verde,125.625210607,-80.9817674892,41.8900736713
Cambodia,234.835854803,-270.840663276,8.30153213031
Cameroon,260.88589685,123.407071329,2.08621153759
Canada,-201.57641048,55.2795062102,156.104383447
Central African Republic,486.585104445,525.804165168,-135.395802569
Chad,196.93984349,-19.3350881245,15.6475904051
Chile,-214.880089345,3.14677852984,-67.8702860479
China,36.5425248607,-150.241478603,-66.1465206619
Colombia,109.561078778,27.929498891,115.652506595
Congo,450.431952374,589.757969722,-156.711877469
Costa Rica,59.5550430112,-117.444374802,59.7904698654
Croatia,-205.774464446,87.7135420802,111.999779146
Cuba,0.529842276256,-76.3492187281,17.4512461482
Cyprus,-145.979469747,15.6133649707,-52.9186275703
Czech Republic,-252.423365649,139.174194822,242.108642723
